id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19	top_20	top_21	top_22	top_23	top_24	top_25	top_26	top_27	top_28	top_29	top_30	top_31	top_32	top_33	top_34	top_35	top_36	top_37	top_38	top_39	top_40	top_41	top_42	top_43	top_44	top_45	top_46	top_47	top_48	top_49
170	283	41	261	709	81	173	338	10	83	131	23	142	203	403	67	155	8	564	274	281	54	18	78	247	70	285	460	110	112	145	196	353	90	115	441	290	392	524	265	164	317	377	45	82	199	117	223	134	376	209
91	338	83	246	197	331	504	26	638	53	709	79	70	498	342	642	217	462	729	235	561	183	244	61	75	382	126	108	649	87	312	471	449	793	291	399	7	121	478	234	142	592	107	72	125	118	150	563	772	414	773
179	283	180	23	203	356	290	265	209	164	246	238	109	114	148	83	10	256	80	387	253	197	331	16	165	44	60	359	574	92	37	25	313	53	201	340	362	67	17	501	5	65	91	176	424	18	642	217	77	379	764
16	356	176	114	131	109	203	128	155	274	247	403	90	196	353	54	82	142	134	209	21	177	145	115	441	238	197	189	524	460	78	112	537	253	387	80	235	165	392	574	37	318	360	748	53	317	92	377	307	25	201
57	283	23	155	45	173	338	209	164	246	148	60	256	95	387	197	253	176	165	189	44	504	359	26	638	17	394	313	53	201	282	340	79	362	307	501	91	498	4	403	54	342	217	281	544	110	764	462	729	59	288
99	283	39	356	90	45	353	109	233	82	173	209	338	83	10	21	177	148	60	256	95	80	253	331	181	537	189	176	638	37	92	17	394	76	313	18	201	282	340	362	501	5	91	407	8	65	498	4	342	217	403
223	283	41	176	76	261	709	114	649	81	60	109	131	23	142	128	78	8	17	155	285	460	18	112	288	392	145	317	377	115	441	233	196	524	353	90	223	117	132	199	164	265	45	82	235	639	134	376	209	220	333
9	76	131	23	709	10	128	155	649	403	196	17	233	564	164	54	142	376	145	115	148	256	524	95	78	537	387	199	165	44	392	638	26	318	394	748	282	53	92	313	377	307	489	201	79	91	340	46	407	295	132
194	48	112	39	30	734	283	567	268	457	689	558	41	261	60	543	564	838	403	0	356	114	296	94	1006	606	173	400	281	518	782	8	273	70	338	54	109	199	288	145	512	299	524	336	441	748	110	115	10	125	67
103	285	392	112	132	60	84	403	30	788	734	589	268	457	689	54	70	67	229	567	606	543	838	748	413	0	200	512	558	518	144	341	81	220	107	168	318	782	443	296	180	478	736	13	121	769	293	22	23	273	299
46	83	8	54	238	288	441	524	235	460	79	318	407	276	729	168	212	736	125	322	478	183	545	377	160	277	140	266	144	57	361	724	336	739	735	68	470	370	267	402	704	147	772	22	846	621	51	519	410	427	623
143	283	76	41	709	356	114	60	173	78	109	285	10	81	403	112	392	317	377	564	180	8	281	117	132	67	54	17	23	131	18	288	110	33	145	639	441	115	524	38	199	128	203	84	589	155	274	606	30	748	235
93	109	45	164	76	197	165	504	18	48	92	709	53	281	70	340	110	79	564	288	65	498	4	342	115	74	424	145	544	379	764	729	524	634	707	61	649	220	545	345	126	348	199	40	87	318	108	455	344	471	312
